address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,choice.16,choice.17,voting_power,timestamp,author_ipfs_hash,reason
0xb423A138fD171c28d90A5883A01ec92fF3D63609,1,1,,,,,,,,,,,,,,,,504.4923460915159,1704291384,bafkreigb5wx3g4xit64pg42ibh6xaruhtroblt3flxqbnb3uxitceca2ri,""
0x9AE494FBAc34682c122A1D4e3D6ae1Eb5404A469,1,,,,,,,,,,,,,,,,,1289.2077755046655,1704291437,bafkreibyi2ubyludepzm47kfuo67a2w4vuyb7t6abdaqspcezuwzc54dbq,""
0x1021e61f2cDd8bB295b0e64A20eBB7D8ec3734bf,1,,,,,,,,,,,,,,,,,124.88823621061813,1704291513,bafkreifporaqekzqwjai6dl2ndxzfasfnukkin2rdrx7sd75ucccvginrq,""
0xEb263241eB948Cc0eB53A58bf743289D074F474F,,,,,,1,,,1,1,,,,,1,,,100,1704292092,bafkreievrwmzdhgd4wph64w5zzwtcdglvumhkfb3frlmv3cr56spibmaza,""
0x4831DdB6502ca45dbEEDf58B47292061Cdb6050B,1,1,,1,,1,,1,8,1,,,1,,1,,,100,1704293161,bafkreibmhleskwk4gofxenpoarver6iqqt3lfxjgfu2bmlxmhkwtnrduzy,""
0xAB4e4F9C9C394D72dbAE834075fd4519D7290456,1,2,1,,,2,,1,,1,,,,,,,,2391.361975245823,1704293380,bafkreia5ixouqloj4mil6umg46kevvvgj2h4f3weoy75odmuyhx34c2mzi,""
0x512B436cB2Ed6016e80d4F89ca578F99DBBccb61,1,1,2,,,3,,1,3,3,,,,,2,,,2400.8664949768445,1704293427,bafkreihy55d3sny2i5mp4mx2sff5nm33nttoafdxot63ys7naaur5y4vxy,""
0x341C2F0E48087ce4E21eF0c75Cd062629F496dF8,1,,,,,,,,1,3,,,,,,,,2197.48546560382,1704293470,bafkreihr6f5e2u5f5wtfsy3t5ru6szbljplicommf5c2q542avpgk2fp5i,""
0x4Ae6a8A28c87b75e935a90D6128F2649C969c0D8,1,1,2,1,1,3,2,1,2,3,1,2,1,1,1,1,1,2243.075276840107,1704293538,bafkreidrn4bkfdxlzknoicerwpdwdnft6x66uo3345hz77zmxiof4t6sne,""
0x4CC9E6fABb800F083a2685501d1A30CdAbb4B2De,,,1,,,,,,2,2,,,,,,,1,1332.4381099777015,1704293587,bafkreigsgxdnkjtn232xifs4rxjdfzlw4n67ukrzdqehsm2gzddzrt7wgm,""
0x11FA934f6754076AEb7Cf0A72a1c2D2518aA4C77,1,,,,,,,,,1,,1,,1,,,,1123.1398542804443,1704293634,bafkreigr66gmntv24l4g2iefm65rj3vi6646e23ir3pchcuufopg6bau2y,""
0xfB94f39B150Ae661F85762154c0CadC65E083791,3,1,,2,,3,,1,,1,,,,,,,,1125.5437704757355,1704293676,bafkreiedbfbokzxmi2o5lh3g33vxajean54r3uwkfjeehe6ktguz4ifn2m,""
0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,,1,,,,,,,1,1,,,,,,,,1000,1704293722,bafkreie5zjzwrhsjgl6hqnb2ki24xivornzob77galy4enluamcmzoyshi,""
0x50544864a4fE04FcA8401937B849b48e1E53BCD8,3,1,2,1,1,4,1,1,5,4,1,1,1,1,3,1,1,5408.815446706653,1704293737,bafkreifbvcdbch5622bpxi2bpp7nb27ftvwcdtw325bxhhw7rywtvig64m,""
0xACC3D48B216EAFbE0F943167c3087E7f0C642D6e,,,1,,,1,1,1,,1,,1,1,1,2,,,1703.1621623115386,1704293789,bafkreidbi6x4qog7mdjo3vo2x67ghobi3pq5656bditiyo3le4m36uaazi,""
0xd46E61d448568D00483D4e82b822381EE62C5774,,2,,2,,1,,,3,,2,,,1,2,1,1,743.2046858408858,1704293836,bafkreib4tvukoyby5a2zhnmyvz46blywkl3c6nkfmwp4cyppmrd6cqtopu,""
0xC9c32A8c745bB66094B8B27A74Be48E84FD1a8F3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,914.6782398552236,1704293903,bafkreig5xzah3gn3j34cekht6cfdf72xi7usrdifeq7li4nf3phwkrwiti,""
0xeBcF41FfFa0aac1DC1B1d4D7C92A7D88694c4486,,,,2,,3,,,3,,,,,,1,,,1179.1184694335814,1704293946,bafkreiczwfi2eiltib7jbwr7q2lr2ivno2syfjxj4huqrmrc4wvpqev2oq,""
0x7993F18C91A9f68593d308C5846f380A2a374F46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.1,1704294232,bafkreibzpzcnozdh6behefqdszxipwwk2lj7hwjex76lcxw6cepojmazgu,""
0xCa144Bc972E07ac38c6d68542C291cfDCEF2b31e,1,,,1,,,,,,,,,1,,,,,100,1704294723,bafkreicpj5pjdrimrz5vng7jexs5b5novu36s3mv76mm2biyvefsu5v664,""
0xCb36F8580A36788A48518dEC95Ea458357E64E30,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,100,1704295520,bafkreifjcv57qtrq4434iid2r6qr2ikufwjoywhirof57tb3hmy5cpehhe,""
0x3Aa73ed90e9f0CEd87ff99CB60cA79019279e6CE,,,,,,1,,,,1,,,,,,,,4100.490129745877,1704300896,bafkreiagvkp3jj3xp62ijmispsupjvkydvo775fhxvekr5i7nrtzialozm,""
0x0743542070891051861f8D0a4550f97B43B0B89a,,,,,,3,,,2,,,,,,1,,,100,1704301273,bafkreia2ioofgubtqf2agcyxzhg4knaghxmy7kg5rj2cufnywz2mnqai4m,""
0x48b576c87e788a762D6f95A456f2A39113b46950,1,,1,,,,,1,,1,,,1,,1,,,1000,1704301344,bafkreibpay7towvlgjoycjb7waz2ufcf6ycfxmjsl7vjd7iwsy7idfrgcq,""
0x8d0CD1AB81EaDa4F92C7cb5c8DBc25C69cc296AD,,,1,,,,,,,,,,,,,,,50000,1704302669,bafkreibetfuy33a4qqtl7yqoulptg7iulres34ktuje3prgyyilmqckpva,""
0x8498843f6D9046f7b59482978E152D61869203bC,,,,,,100,,,,,,,,,,,,432.8547,1704309249,bafkreibr33nv3xorcj7dav4ynj6crv7mgtbc55j7vnp4cogtn3xpfxyb7a,""
0x66805D8B82664Acab4CbE0C0498889dDE9aF7841,,,1,1,,,,1,,3,,,2,,,1,,1007.0989340889162,1704309761,bafkreielvvqlq3k4rbbepyuihzuuoaomr7zhftvz2gvgzcew2cyztuy4c4,""
0x84B5a60Df2d7e3397B3A4A3c6282f090304Aca26,,,,7,,,1,,,9,,,,,,,,150000,1704311452,bafkreice6k25fqce2ko753y46ahwjpo6vie2a33kyqvm7fmfuzgtcqed2u,""
0xFef75B27d4Ae3D5228bCc2912f9CdCEAfe5f82E3,,1,,,,,,,,1,,1,1,,,1,,1000,1704312513,bafkreibgi5ycxv65nyjthaemg6nnxpy7zn5pkgyx5rpsqhjqx573gtdsae,""
0xb62E762Af637b49Eb4870BCe8fE21bffF189e495,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,8,3,1000,1704314525,bafkreihboipouyfgq2akiktgqvy4jdscpk67rtd25kv7ved6y67cwqb6y4,""
0x9f729294b308f79243285348A7Be3f58ae5ED31A,2,,,,,,5,2,,,,2,,,,6,,500,1704314564,bafkreigd7pme3p5z5mvpnaj7x6s2yy3u5wpcmv2f2ctspuykly4vp3qa5m,""
0x59072B3a3287F4a75cadfb36D671A2f0d1959B09,,,,,,,,,,1,,,,,,,,1000,1704315393,bafkreicqxpwsthoxuuorhtgttngzcrw7smyhydirz5efeo2d7k3anzvr6u,""
